velocity,acceleration,distance_re,velocity_re,ttc,ttc_lanechange,lanechange_using
33.33,0.0,76.7582265253261,2.7666789355794315,27.743713989028734,,
33.33,0.0,76.48356870271697,2.7465782280425657,27.846754719845702,,
33.33,0.0,76.21089081338313,2.726778895290046,27.948951583681964,,
33.33,0.0,75.94016421172597,2.70726601852105,28.050395930153844,,
33.33,0.0,75.67136166327295,2.6880254864780717,28.151176591206156,,
33.33,0.0,75.40445726816063,2.6690439530719985,28.251379924850312,,
33.33,0.0,75.13942638861957,2.6503087973591555,28.351089862657425,,
33.33,0.0,74.87624558024194,2.631808085723371,28.450387960481606,,
33.33,0.0,74.6148925268238,2.61353053612687,28.549353451926617,,
33.33,0.0,74.35534597858803,2.5954654843034817,28.648063304108586,,
33.33,0.0,74.0975856936048,2.5776028517766356,28.74659227530332,,
33.33,0.0,73.84159238223998,2.559933115592873,28.84501297410218,,
