velocity,acceleration,distance_re,velocity_re,ttc,ttc_lanechange,lanechange_using
33.33,0.0,64.23949796029915,5.5500000064851385,11.574663448396644,,
33.33,0.0,63.68449796020392,5.5500000064851385,11.47466362867619,,
33.33,0.0,63.129497960117746,5.5500000064851385,11.374663808957367,,
33.33,0.0,62.57449796004085,5.5500000064851385,11.274663989240217,,
33.33,0.0,62.019497959973464,5.5500000064851385,11.17466416952478,,
33.33,0.0,61.46449795991583,5.5500000064851385,11.0746643498111,,
33.33,0.0,60.9094979598682,5.5500000064851385,10.974664530099222,,
33.33,0.0,60.35449795983081,5.5500000064851385,10.87466471038919,,
33.33,0.0,59.799497959803716,5.5500000064851385,10.774664890681013,,
33.33,0.0,59.244497959787864,5.5500000064851385,10.67466507097486,,
33.33,0.0,58.6894979597831,5.5500000064851385,10.574665251270707,,
